month,start,end,value
january,0,1,1458583
january,1,2,1458583
january,2,3,1481633
january,3,4,1408424
january,4,5,1400597
january,5,6,1548933
january,6,7,1537059
january,7,8,1517383
january,8,9,1544359
january,9,10,1580460
january,10,11,1440710
january,11,12,1417824
january,12,13,1597834
january,13,14,1666670
january,14,15,1707785
january,15,16,1656905
january,16,17,1620539
january,17,18,1487228
january,18,19,1418230
january,19,20,1666497
january,20,21,1739178
january,29,30,1737754
january,30,31,1749857
february,0,1,1577419
february,1,2,1509311
february,2,3,1688266
february,3,4,1690517
february,4,5,1719390
february,5,6,1693426
february,6,7,1613806
february,7,8,1521449
february,8,9,1473617
february,9,10,1632787
february,10,11,1698088
february,11,12,1702137
february,12,13,1690878
february,13,14,1661660
february,14,15,1445139
february,15,16,1392075
february,16,17,1565855
february,17,18,1622609
february,18,19,1593628
february,19,20,1564282
february,20,21,1569010
february,21,22,1458216
february,22,23,1338981
february,23,24,1495727
february,24,25,1554400
february,25,26,1574841
february,26,27,1643072
february,27,28,1644590
march,0,1,1500834
march,1,2,1424820
march,2,3,1607011
march,3,4,1615301
march,4,5,1559021
march,5,6,1547753
march,6,7,1508006
march,7,8,1309583
march,8,9,1189917
march,9,10,1365881
march,10,11,1403679
march,11,12,1403001
march,12,13,1397280
march,13,14,1367524
march,14,15,1251964
march,15,16,1159217
march,16,17,1334292
march,17,18,1391104
march,18,19,1366559
march,19,20,1342872
march,20,21,1327773
march,21,22,1268340
march,22,23,1276517
march,23,24,1467731
march,24,25,1503009
march,25,26,1496469
march,26,27,1500094
march,27,28,1450254
march,28,29,1240603
march,29,30,1086657
march,30,31,1282324
april,0,1,1283014
april,1,2,1270569
april,2,3,1293570
april,3,4,1293439
april,4,5,1150461
april,5,6,1050257
april,6,7,1209470
april,7,8,1260725
april,8,9,1285887
april,9,10,1266011
april,10,11,1234722
april,11,12,1100005
april,12,13,1034963
april,13,14,1221402
april,14,15,1265036
april,15,16,1279159
april,16,17,1266882
april,17,18,1241239
april,18,19,1153081
april,19,20,1082812
april,20,21,1084284
april,21,22,1245400
april,22,23,1248887
april,23,24,1235617
april,24,25,1229560
april,25,26,1117336
april,26,27,1074233
april,27,28,1249024
april,28,29,1273337
april,29,30,1246730
may,0,1,1036144
may,1,2,1156135
may,2,3,1106555
may,3,4,1041413
may,4,5,1182786
may,5,6,1192434
may,6,7,1193624
may,7,8,1047831
may,8,9,1106669
may,9,10,1043170
may,10,11,1000001
may,11,12,1205405
may,12,13,1247394
may,13,14,1238560
may,14,15,1223267
may,15,16,1199465
may,16,17,1040418
may,17,18,952650
may,18,19,1126219
may,19,20,1155800
may,20,21,1173902
may,21,22,1167218
may,22,23,1160702
may,23,24,1034886
may,24,25,966509
may,25,26,1156691
may,26,27,1194054
may,27,28,1190877
may,28,29,1016149
may,29,30,1068529
may,30,31,993302
january,0,1,1458583
january,1,2,1458583
january,2,3,1481633
january,3,4,1408424
january,4,5,1400597
january,5,6,1548933
january,6,7,1537059
january,7,8,1517383
january,8,9,1544359
january,9,10,1580460
january,10,11,1440710
january,11,12,1417824
january,12,13,1597834
january,13,14,1666670
january,14,15,1707785
january,15,16,1656905
january,16,17,1620539
january,17,18,1487228
january,18,19,1418230
january,19,20,1666497
january,20,21,1739178
january,29,30,1737754
january,30,31,1749857
february,0,1,1577419
february,1,2,1509311
february,2,3,1688266
february,3,4,1690517
february,4,5,1719390
february,5,6,1693426
february,6,7,1613806
february,7,8,1521449
february,8,9,1473617
february,9,10,1632787
february,10,11,1698088
february,11,12,1702137
february,12,13,1690878
february,13,14,1661660
february,14,15,1445139
february,15,16,1392075
february,16,17,1565855
february,17,18,1622609
february,18,19,1593628
february,19,20,1564282
february,20,21,1569010
february,21,22,1458216
february,22,23,1338981
february,23,24,1495727
february,24,25,1554400
february,25,26,1574841
february,26,27,1643072
february,27,28,1644590
march,0,1,1500834
march,1,2,1424820
march,2,3,1607011
march,3,4,1615301
march,4,5,1559021
march,5,6,1547753
march,6,7,1508006
march,7,8,1309583
march,8,9,1189917
march,9,10,1365881
march,10,11,1403679
march,11,12,1403001
march,12,13,1397280
march,13,14,1367524
march,14,15,1251964
march,15,16,1159217
march,16,17,1334292
march,17,18,1391104
march,18,19,1366559
march,19,20,1342872
march,20,21,1327773
march,21,22,1268340
march,22,23,1276517
march,23,24,1467731
march,24,25,1503009
march,25,26,1496469
march,26,27,1500094
march,27,28,1450254
march,28,29,1240603
march,29,30,1086657
march,30,31,1282324
april,0,1,1283014
april,1,2,1270569
april,2,3,1293570
april,3,4,1293439
april,4,5,1150461
april,5,6,1050257
april,6,7,1209470
april,7,8,1260725
april,8,9,1285887
april,9,10,1266011
april,10,11,1234722
april,11,12,1100005
april,12,13,1034963
april,13,14,1221402
april,14,15,1265036
april,15,16,1279159
april,16,17,1266882
april,17,18,1241239
april,18,19,1153081
april,19,20,1082812
april,20,21,1084284
april,21,22,1245400
april,22,23,1248887
april,23,24,1235617
april,24,25,1229560
april,25,26,1117336
april,26,27,1074233
april,27,28,1249024
april,28,29,1273337
april,29,30,1246730
may,0,1,1036144
may,1,2,1156135
may,2,3,1106555
may,3,4,1041413
may,4,5,1182786
may,5,6,1192434
may,6,7,1193624
may,7,8,1047831
may,8,9,1106669
may,9,10,1043170
may,10,11,1000001
may,11,12,1205405
may,12,13,1247394
may,13,14,1238560
may,14,15,1223267
may,15,16,1199465
may,16,17,1040418
may,17,18,952650
may,18,19,1126219
may,19,20,1155800
may,20,21,1173902
may,21,22,1167218
may,22,23,1160702
may,23,24,1034886
may,24,25,966509
may,25,26,1156691
may,26,27,1194054
may,27,28,1190877
may,28,29,1016149
may,29,30,1068529
may,30,31,993302
january,0,1,1458583
january,1,2,1458583
january,2,3,1481633
january,3,4,1408424
january,4,5,1400597
january,5,6,1548933
january,6,7,1537059
january,7,8,1517383
january,8,9,1544359
january,9,10,1580460
january,10,11,1440710
january,11,12,1417824
january,12,13,1597834
january,13,14,1666670
january,14,15,1707785
january,15,16,1656905
january,16,17,1620539
january,17,18,1487228
january,18,19,1418230
january,19,20,1666497
january,20,21,1739178
january,29,30,1737754
january,30,31,1749857
